Date,CiudBA,ProvBA,Chaco,Cordoba,Corrientes
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,1,0,0,0,0
2020-03-08,1,0,0,0,0
2020-03-09,1,0,0,0,0
2020-03-10,1,0,0,0,0
2020-03-11,1,0,0,0,0
2020-03-12,1,0,0,0,0
2020-03-13,1,0,1,0,0
2020-03-14,1,0,1,0,0
2020-03-15,1,0,1,0,0
2020-03-16,1,0,1,0,0
2020-03-17,1,0,1,0,0
2020-03-18,2,0,1,0,0
2020-03-19,2,0,1,0,0
2020-03-20,2,0,1,0,0
2020-03-21,2,1,1,0,0
2020-03-22,2,1,1,0,0
2020-03-23,2,1,1,0,0
2020-03-24,2,2,2,0,0
2020-03-25,3,2,3,0,0
2020-03-26,4,4,4,0,0
2020-03-27,5,6,4,0,0
2020-03-28,6,7,4,0,0
2020-03-29,6,8,4,0,0
2020-03-30,6,8,4,0,0
2020-03-31,7,9,5,1,0
2020-04-01,8,11,5,1,0	
2020-04-02,8,13,6,1,0
2020-04-03,8,16,7,1,0
2020-04-04,8,17,7,1,0
2020-04-05,9,18,7,2,0
2020-04-06,1420,7,2,0
2020-04-07,16,24,7,2,0
2020-04-08,18,25,7,2,0
2020-04-09,23,32,8,2,0
2020-04-10,24,33,8,2,0
2020-04-11,26,37,8,2,0
2020-04-12,27,40,8,3,0
2020-04-13,28,41,8,4,0
2020-04-14,30,43,9,5,0
2020-04-15,34,44,9,6,0
2020-04-16,37,49,10,6,0
2020-04-17,38,52,10,6,0
2020-04-18,48,54,10,6,0
2020-04-19,49,55,10,7,0
2020-04-20,50,55,11,9,0
2020-04-21,50,59,11,10,0
2020-04-22,58,64,11,10,0
2020-04-23,59,68,11,11,0
2020-04-24,63,72,12,12,0
2020-04-25,69,74,12,13,0
2020-04-26,69,76,12,14,0
2020-04-27,73,77,13,14,0
2020-04-28,73,83,14,14,0
2020-04-29,79,85,14,14,0
2020-04-30,81,87,14,14,0
2020-05-01,86,90,17,14,0
2020-05-02,93,92,18,15,0
2020-05-03,94,95,19,16,0
2020-05-04,100,102,19,18,0
2020-05-05,102,103,19,20,0
2020-05-06,104,108,19,20,0
2020-05-07,106,114,20,20,0
2020-05-08,113,122,20,20,0
2020-05-09,116,126,20,20,0
2020-05-10,119,129,21,20,0
2020-05-11,123,133,22,22,0
2020-05-12,126,135,23,22,0
2020-05-13,132,139,24,23,0
2020-05-14,142,150,25,24,0
2020-05-15,142,153,27,24,0
2020-05-16,147,155,30,26,0
2020-05-17,150,160,30,26,0
2020-05-18,155,161,35,26,0
2020-05-19,160,163,35,26,0
2020-05-20,162,168,38,27,0
2020-05-21,168,177,38,27,0
2020-05-22,180,181,41,28,0
2020-05-23,185,185,42,28,0
2020-05-24,189,186,43,28,0
2020-05-25,196,193,45,29,0
2020-05-26,204,203,45,29,0
		     
