Date,CiudBA,ProvBA,Chaco,Cordoba,Corrientes
2020-03-03,1,0,0,0,0
2020-03-04,1,0,0,0,0
2020-03-05,2,0,0,0,0
2020-03-06,6,1,0,1,0
2020-03-07,7,1,0,1,0
2020-03-08,9,2,0,1,0
2020-03-09,10,2,2,1,0
2020-03-10,11,3,2,1,0
2020-03-11,12,4,2,1,0
2020-03-12,15,8,4,3,0
2020-03-13,17,9,4,3,0
2020-03-14,26,11,5,3,0
2020-03-15,32,12,7,3,0
2020-03-16,37,16,11,3,0
2020-03-17,40,17,12,4,0
2020-03-18,53,23,13,5,0
2020-03-19,67,38,15,8,0
2020-03-20,80,49,16,13,1
2020-03-21,113,64,21,17,3
2020-03-22,127,72,28,25,3
2020-03-23,141,77,33,28,3
2020-03-24,174,107,46,35,4
2020-03-25,211,137,54,50,4
2020-03-26,262,164,58,53,5
2020-03-27,285,193,63,58,11
2020-03-28,304,201,67,58,13
2020-03-29,338,217,73,73,16
2020-03-30,366,253,86,80,20
2020-03-31,387,270,91,96,21
2020-04-01,399,280,96,102,22
2020-04-02,440,316,106,120,23
2020-04-03,472,338,115,134,23
2020-04-04,520,364,121,138,23
2020-04-05,564,397,121,143,25
2020-04-06,588,409,124,150,26
2020-04-07,622,443,140,154,26
2020-04-08,648,460,148,155,27
2020-04-09,674,488,156,160,31
2020-04-10,708,507,161,173,31
2020-04-11,749,544,177,205,31
2020-04-12,772,586,178,205,31
2020-04-13,785,601,199,215,31
2020-04-14,806,667,209,226,31
2020-04-15,841,729,226,232,31
2020-04-16,863,759,226,244,32
2020-04-17,880,794,237,250,32
2020-04-18,905,825,246,252,32
2020-04-19,919,873,251,263,32
2020-04-20,954,915,258,263,35
2020-04-21,1001,975,267,264,35
2020-04-22,1044,1036,273,268,36
2020-04-23,1095,1120,281,270,40
2020-04-24,1202,1181,285,272,40
2020-04-25,1260,1275,298,273,47
2020-04-26,1303,1331,302,276,47
2020-04-27,1347,1381,310,277,47
2020-04-28,1423,1429,312,279,48
2020-04-29,1525,1532,315,279,49
2020-04-30,1565,1598,318,282,50
2020-05-01,1614,1632,329,295,50
2020-05-02,1673,1677,340,307,50
2020-05-03,1721,1715,346,308,50
2020-05-04,1766,1753,349,314,50
2020-05-05,1862,1811,361,315,50
2020-05-06,1961,1874,369,321,54
2020-05-07,2081,1924,395,324,55
2020-05-08,2211,2001,421,326,55
2020-05-09,2329,2061,430,332,55
2020-05-10,2522,2112,462,337,78
2020-05-11,2701,2156,479,351,78
2020-05-12,2871,2236,480,354,78
2020-05-13,3087,2332,507,365,78
2020-05-14,3239,2411,518,370,78
2020-05-15,3495,2497,556,373,78
2020-05-16,3706,2594,573,382,78
2020-05-17,3928,2668,595,402,78
